"skills","job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","job_title_short","company_name"
"sql",552322,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","Data Analyst","AT&T"
"python",552322,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","Data Analyst","AT&T"
"r",552322,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","Data Analyst","AT&T"
"azure",552322,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","Data Analyst","AT&T"
"databricks",552322,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","Data Analyst","AT&T"
"aws",552322,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","Data Analyst","AT&T"
"pandas",552322,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","Data Analyst","AT&T"
"pyspark",552322,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","Data Analyst","AT&T"
"jupyter",552322,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","Data Analyst","AT&T"
"excel",552322,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","Data Analyst","AT&T"
